Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-09-07,0.904,0.9566,0.8907,0.9481,253966248
2000-09-08,0.9422,0.9422,0.8946,0.9002,228336184
2000-09-11,0.8974,0.9232,0.8888,0.8937,218833639
2000-09-12,0.8768,0.9183,0.8716,0.8833,219553039
2000-09-13,0.8678,0.9096,0.8678,0.887,357343455
2000-09-14,0.8956,0.9115,0.8688,0.8694,498148728
2000-09-15,0.8833,0.8897,0.8295,0.8443,460733679
2000-09-18,0.8446,0.929,0.8419,0.9274,495794441
2000-09-19,0.9136,0.9251,0.8956,0.9165,317083431
2000-09-20,0.9082,0.9394,0.8956,0.9333,265555111
2000-09-21,0.8946,0.9115,0.8446,0.8666,596176256
2000-09-22,0.7694,0.8018,0.7647,0.7978,848677593
2000-09-25,0.8068,0.8486,0.796,0.8181,508658506
2000-09-26,0.8154,0.8371,0.7856,0.7866,339770581
2000-09-27,0.7914,0.8068,0.7376,0.7483,469778401
2000-09-28,0.7541,0.8231,0.7357,0.8181,1144009073
2000-09-29,0.43123,0.44344,0.38815,0.39394,8667363704
2000-10-02,0.4083,0.40922,0.35932,0.37068,2831789790
2000-10-03,0.38138,0.38225,0.33948,0.34103,2380218684
2000-10-04,0.34215,0.36331,0.33458,0.36116,1712096241
2000-10-05,0.35932,0.37461,0.33639,0.33727,1019540642
2000-10-06,0.3471,0.35079,0.3211,0.33948,715491321
2000-10-09,0.34592,0.34987,0.32296,0.33269,697866082
2000-10-10,0.33055,0.34305,0.31348,0.31922,807103078
2000-10-11,0.30767,0.3211,0.29231,0.29998,1399577700
2000-10-12,0.31034,0.31808,0.2981,0.30592,1390984218
2000-10-13,0.30938,0.33817,0.30592,0.33727,1457188259
2000-10-16,0.34103,0.35539,0.32687,0.32879,957842650
2000-10-17,0.33185,0.33553,0.30125,0.30767,702718748
2000-10-18,0.29716,0.32205,0.28686,0.30767,974297201
2000-10-19,0.29294,0.30271,0.27982,0.28962,1759628694
