Data,close
1994-08-02,8.0471
1994-08-03,8.8385
1994-08-04,9.715
1994-08-08,8.8385
1994-08-09,10.432
1994-08-10,9.84
1994-08-11,9.639
1994-08-16,10.241
1994-08-17,10.755
1994-08-18,9.677
1994-08-22,10.041
1994-08-23,9.2389
1994-08-24,9.0386
1994-08-25,8.1235
1994-08-29,8.8003
1994-08-30,8.7622
1994-08-31,8.2473
1994-09-01,8.0471
1994-09-05,7.6466
1994-09-06,6.8744
1994-09-07,6.1974
1994-09-08,6.7886
1994-09-12,7.4465
1994-09-13,6.7123
1994-09-14,6.8267
1994-09-15,6.6932
1994-09-19,6.6742
1994-09-20,6.0162
1994-09-21,5.4728
1994-09-22,5.692
1994-09-26,5.5395
1994-09-27,5.1392
1994-09-28,5.1392
1994-09-29,5.4347
1994-10-03,5.9781
1994-10-04,6.0354
1994-10-05,6.636
1994-10-06,6.5312
1994-10-07,6.6551
1994-10-10,6.5312
1994-10-11,6.2356
1994-10-12,6.2356
1994-10-13,5.6158
1994-10-14,6.1498
1994-10-17,6.4358
1994-10-18,6.636
1994-10-19,6.5312
1994-10-20,6.4168
1994-10-21,6.0926
1994-10-24,5.6349
1994-10-25,5.7111
1994-10-26,5.7398
1994-10-27,5.4347
1994-10-28,5.3202
1994-11-02,5.8542
1994-11-03,5.7969
1994-11-04,5.7779
1994-11-07,5.7398
1994-11-08,5.7398
1994-11-09,5.7588
1994-11-10,5.7588
1994-11-14,5.7398
1994-11-15,5.3202
1994-11-16,5.3202
1994-11-17,5.2154
1994-11-18,5.5205
1994-11-21,4.958
1994-11-22,4.4812
1994-11-23,4.5384
1994-11-24,4.5193
1994-11-25,4.5384
1994-11-28,4.958
1994-11-29,5.4537
1994-11-30,5.9114
1994-12-01,5.8732
1994-12-02,5.2726
1994-12-05,5.5395
1994-12-06,5.4156
1994-12-07,5.5395
1994-12-08,4.977
1994-12-09,4.5384
1994-12-12,4.9198
1994-12-13,4.7386
1994-12-14,4.6433
1994-12-15,4.7386
1994-12-16,5.1963
1994-12-19,5.1201
1994-12-20,5.0628
1994-12-21,4.977
1994-12-22,5.1201
1994-12-23,5.1201
1994-12-27,5.0818
1994-12-28,4.9198
1994-12-29,4.958
1995-01-02,5.4537
1995-01-03,5.1773
1995-01-04,5.3202
1995-01-05,5.4347
1995-01-06,5.1582
1995-01-09,5.2726
1995-01-10,5.2726
1995-01-11,5.3012
1995-01-12,5.3584
1995-01-13,5.4347
1995-01-16,5.3775
1995-01-17,5.3202
1995-01-18,5.2344
1995-01-19,5.3202
1995-01-20,5.3012
1995-01-23,5.1201
1995-01-24,4.8435
1995-01-25,4.815
1995-01-26,4.815
1995-01-27,4.8625
1995-01-30,4.815
1995-01-31,4.815
1995-02-01,4.9198
1995-02-02,4.9198
1995-02-03,4.815
1995-02-06,5.0628
1995-02-07,5.5777
1995-02-08,5.4728
1995-02-09,5.1201
1995-02-10,5.1201
1995-02-13,5.0151
1995-02-14,5.2154
1995-02-15,5.0818
1995-02-16,5.1963
1995-02-17,5.1392
1995-02-20,4.958
1995-02-21,4.7005
1995-02-22,4.7577
1995-02-23,4.8435
1995-02-24,5.3202
1995-02-27,4.796
1995-02-28,4.815
1995-03-01,4.8817
1995-03-02,5.0151
1995-03-03,5.0818
1995-03-06,5.0628
1995-03-07,5.0151
1995-03-08,5.0818
1995-03-09,5.101
1995-03-10,5.0343
1995-03-13,4.9961
1995-03-14,4.9198
1995-03-15,5.0151
1995-03-16,4.9198
1995-03-17,4.9389
1995-03-20,4.8625
1995-03-21,4.8817
1995-03-22,4.8625
1995-03-23,4.815
1995-03-24,4.8435
1995-03-27,4.8625
1995-03-28,4.796
1995-03-29,4.7005
1995-03-30,4.7196
1995-03-31,4.815
1995-04-03,4.9198
1995-04-04,5.0151
1995-04-05,5.0151
1995-04-06,5.0818
1995-04-07,5.2154
1995-04-10,5.7588
1995-04-11,5.7969
1995-04-12,5.7969
1995-04-13,5.5395
1995-04-14,5.673
1995-04-18,6.1307
1995-04-19,6.7314
1995-04-20,6.636
1995-04-21,6.4358
1995-04-24,6.7505
1995-04-25,6.636
1995-04-26,6.0926
1995-04-27,6.1974
